,Business,distance,price,rating,Popular,Location
46,Mandarin Oriental Hotel,840.765243124,4,4.0,70,"['776 Boylston St', 'Boston, MA 02199']"
47,East Ocean City,864.24857147,2,3.0,174,"['27 Beach St', 'Boston, MA 02111']"
48,"The Ritz-Carlton, Boston",874.095961996,4,3.5,100,"['10 Avery St', 'Boston, MA 02111']"
49,Gaga Seafood Restaurant,904.2137944919999,2,4.0,69,"['25-27 Tyler St', 'Boston, MA 02111']"
50,Jade Garden,931.4125578157999,2,3.5,155,"['18-20 Tyler St', 'Boston, MA 02111']"
51,Walgreens,955.9788593279999,1,2.5,16,"['841 Boylston St', 'Boston, MA 02116']"
52,Station KTV,958.2787027483998,2,3.0,11,"['20 Hudson St', 'Boston, MA 02111']"
53,Peach Farm,961.5989160089999,2,3.5,415,"['4 Tyler St', 'Boston, MA 02111']"
54,Legal Crossing,987.939305657,3,4.0,242,"['558 Washington St', 'Boston, MA 02111']"
55,New Jumbo Seafood Restaurant,992.501382222,2,3.5,281,"['5 Hudson St', 'Boston, MA 02111']"
56,MLR Artist Management,994.9859778743999,2,4.0,5,"['Boston, MA 02111']"
57,China King,997.6818476819999,2,3.5,93,"['60 Beach St', 'Boston, MA 02111']"
58,New Golden Gate,1002.354566372,2,3.5,238,"['66 Beach St', 'Boston, MA 02111']"
59,Back Bay Social Club,1004.5328080619998,2,3.5,491,"['867 Boylston St', 'Boston, MA 02116']"
60,Newbury Guest House,1009.90752086,2,4.0,44,"['261 Newbury St', 'Boston, MA 02116']"
61,Hot Pot Buffet,1015.728342706,2,3.5,437,"['70 Beach St', 'Boston, MA 02111']"
62,Whiskey's Food & Spirits,1019.430146574,2,2.5,505,"['885 Boylston St', 'Boston, MA 02116']"
63,Moon Villa Restaurant,1037.122586798,2,3.0,51,"['19 Edinboro St', 'Boston, MA 02111']"
64,Chau Chow City,1041.923891754,2,3.0,356,"['83 Essex St', 'Boston, MA 02111']"
65,Hyatt Regency Boston,1068.419180377,3,3.5,254,"['One Ave De Lafayette', 'Boston, MA 02111']"
66,The Pour House,1077.5825209359998,1,3.5,972,"['907 Boylston St', 'Boston, MA 02115']"
67,McGreevy's,1084.95506841,2,3.5,274,"['911 Boylston St', 'Boston, MA 02115']"
68,Godfrey Hotel Boston,1115.313819104,3,4.0,55,"['505 Washington St', 'Boston, MA 02111']"
69,Just Add Cooking,1118.6066896779998,2,4.0,6,"['Boston, MA 02118']"
70,South Street Diner,1130.98058307,1,3.5,525,"['178 Kneeland St', 'Boston, MA 02111']"
71,Britt Ryan,1139.718333666,3,5.0,8,"['291 Newbury St', 'Boston, MA 02115']"
72,Midtown Hotel,1154.6370763999998,2,3.0,68,"['220 Huntington Ave', 'Boston, MA 02115']"
73,Bukowski Tavern,1165.4570876484,2,3.5,615,"['50 Dalton St', 'Boston, MA 02115']"
74,Yvonne's,1172.085379746,3,4.0,445,"['2 Winter Pl', 'Boston, MA 02108']"
75,Hilton Boston Back Bay,1180.0834776779998,3,3.0,167,"['40 Dalton St', 'Boston, MA 02115']"
76,JJ Foley's Bar & Grille,1193.734060492,1,3.5,155,"['21 Kingston St', 'Boston, MA 02111']"
77,Dillon's,1202.639101981,2,3.0,367,"['955 Boylston St', 'Boston, MA 02115']"
78,Shell Gas Station,1204.24980992,3,2.0,10,"['584 Columbus Ave', 'Boston, MA 02118']"
79,Wally's Cafe,1207.382068362,1,4.0,245,"['427 Massachusetts Ave', 'Boston, MA 02118']"
80,Parish Cafe,1236.6508130739999,2,3.5,228,"['493 Massachusetts Ave', 'Boston, MA 02118']"
81,Silvertone,1333.882710189,2,4.0,751,"['69 Bromfield St', 'Boston, MA 02108']"
82,Dumpling Palace,1345.283033348,2,3.0,224,"['179 Massachusetts Ave', 'Boston, MA 02115']"
83,Supreme Pizza & Subs,1346.101382738,1,3.0,89,"['177B Massachusetts Ave', 'Boston, MA 02115']"
84,The Barracuda Tavern,1346.2177380199998,2,3.5,216,"['15 Bosworth St', 'Boston, MA 02108']"
85,Beantown Pub,1364.652244918,2,3.0,492,"['100 Tremont St', 'Boston, MA 02108']"
86,The Merchant,1364.8663997918,2,3.5,230,"['60 Franklin St', 'Boston, MA 02110']"
87,Moonshine 152,1370.297004968,2,4.0,182,"['152 Dorchester Ave', 'Boston, MA 02127']"
88,21st Amendment,1371.9746614509997,2,4.0,303,"['150 Bowdoin Sq', 'Boston, MA 02108']"
89,Beacon Hill Pub,1402.623334746,1,3.5,190,"['149 Charles St', 'Boston, MA 02108']"
90,XV Beacon,1404.2492509479998,3,4.5,61,"['15 Beacon St', 'Boston, MA 02108']"
91,Kimpton Nine Zero Hotel,1409.7083414422,3,4.0,248,"['90 Tremont St', 'Boston, MA 02108']"
92,6B Lounge,1414.778357898,2,3.5,152,"['6B Beacon St', 'Boston, MA 02108']"
93,Emmet's Irish Pub & Restaurant,1414.778357898,2,3.5,208,"['6 Beacon St', 'Boston, MA 02108']"
94,Omni Parker House,1424.904164244,3,3.5,521,"['60 School St', 'Boston, MA 02108']"
95,CVS/pharmacy,1425.8942945856,3,3.0,11,"['155 Charles St', 'Boston, MA 02114']"
96,Little Steve's Pizzeria,1426.671380498,1,3.0,189,"['1114 Boylston St', 'Boston, MA 02215']"
97,The Eliot Hotel,1444.8623298803998,3,4.5,81,"['370 Commonwealth Ave', 'Boston, MA 02215']"
98,Doughboy Donuts & Deli,1462.190318968,1,4.0,122,"['220 Dorchester Ave', 'Boston, MA 02127']"
99,G&V Symphony Mart,1467.0687756836,2,3.5,14,"['1130 Boylston St', 'Boston, MA 02215']"
100,Harvard Gardens,1467.364990804,2,3.5,317,"['316 Cambridge St', 'Boston, MA 02114']"
101,Walgreens,1469.949268976,2,3.5,82,"['24 School St', 'Boston, MA 02110']"
102,Club Quarters - Boston,1476.377777606,2,3.5,125,"['161 Devonshire St', 'Boston, MA 02110']"
103,Symphony Market,1479.4072957823998,2,3.5,24,"['291 Huntington Ave', 'Boston, MA 02115']"
104,Our House East,1480.1660674056,2,2.0,83,"['52 Gainsborough St', 'Boston, MA 02115']"
105,Scholars American Bistro & Cocktail Lounge,1482.191518356,2,3.0,293,"['25 School St', 'Boston, MA 02108']"
106,In & Out Car Service,1507.7886665117999,,2.0,1,"['Boston, MA']"
107,The Hill Tavern,1518.6792151323998,2,3.5,199,"['228 Cambridge St', 'Boston, MA 02114']"
108,Corner Tavern,1520.97999197,2,4.0,214,"['421 Marlborough St', 'Boston, MA 02115']"
109,The Alley,1534.3601251970001,1,3.5,60,"['14 Pi Aly', 'Boston, MA 02108']"
110,Slades Bar & Grill,1556.8046567597999,2,4.0,71,"['958 Tremont St', 'Roxbury Crossing, MA 02120']"
111,Emmi Sorokin Men's Fashion Stylist,1564.961966698,2,5.0,8,"['Boston, MA 02101']"
112,Alibi,1578.392069932,3,3.5,297,"['215 Charles St', 'Boston, MA 02114']"
113,Cappy's Pizza & Subs,1578.9922893783998,1,3.0,105,"['82 Westland Ave', 'Boston, MA 02115']"
114,The Tip Tap Room,1584.90619545,2,4.0,504,"['138 Cambridge St', 'Boston, MA 02114']"
115,The Red Hat,1594.851594782,2,3.5,199,"['9 Bowdoin St', 'Boston, MA 02114']"
116,Biddy Early's,1642.704354078,1,4.5,193,"['141 Pearl St', 'Boston, MA 02110']"
117,Au Bon Pain,1644.3682507039998,1,3.0,44,"['300 Congress St', ""Children's Museum"", 'Boston, MA 02210']"
118,Ames Hotel,1650.5485991059998,3,3.5,170,"['1 Court St', 'Boston, MA 02108']"
119,ZC Boston,1664.734448404,2,3.5,69,"['801 Massachusetts Ave', 'Boston, MA 02118']"
120,Sunrise Chinese Food,1699.1204115140001,2,3.0,53,"['1033 Tremont St', 'Roxbury Crossing, MA 02120']"
121,SPA InterContinental,1714.238551474,3,3.5,72,"['510 Atlantic Ave', 'Boston, MA 02210']"
122,InterContinental Boston,1722.662641704,3,4.0,234,"['510 Atlantic Avenue', 'Boston, MA 02210']"
123,RumBa,1734.570309298,3,3.5,103,"['510 Atlantic Ave', 'InterContinental Boston', 'Boston, MA 02210']"
124,Vanderbilt Kitchen & Bar,1777.935424004,2,3.0,31,"['105 Water St', 'Boston, MA 02109']"
125,Domino's Pizza,1779.2813150460001,2,1.5,47,"['64 Staniford St', 'Boston, MA 02114']"
126,Battery Park Bar & Patio,1790.650819344,2,4.0,200,"['33 Batterymarch St', 'Boston, MA 02110']"
127,Best Western Plus Boston Hotel,1790.928108626,2,3.0,56,"['891 Massachusetts Ave', 'Boston, MA 02118']"
128,Mr. Dooley's,1809.905124038,2,4.0,318,"['77 Broad St', 'Boston, MA 02109']"
129,Howl at the Moon,1828.768359112,2,3.0,301,"['184 High St', 'Boston, MA 02110']"
130,Hilton Boston Downtown/Faneuil Hall,1830.961245796,3,3.0,168,"['89 Broad St', 'Boston, MA 02110']"
131,Anthem Kitchen and Bar,1845.8627685919998,2,3.5,348,"['101 S Market St', 'Boston, MA 02109']"
132,Broadside Tavern,1855.6808691299998,2,3.5,16,"['99 Broad St', 'Boston, MA 02110']"
133,Vintage Restaurant and Lounge,1861.0055314539998,2,3.5,121,"['72 Broad St', 'Boston, MA 02110']"
134,"Pastoral - Artisan Pizza, Kitchen & Bar",1864.446461308,2,3.5,307,"['345 Congress St', 'Boston, MA 02210']"
135,Blackstone Grill,1867.779726316,2,3.5,102,"['15 Union St', 'Boston, MA 02108']"
136,The Tap Trailhouse,1872.4107631,2,4.0,221,"['19 Union St', 'Boston, MA 02108']"
137,An Tain,1880.3047367339998,1,3.5,61,"['31 India St', 'Boston, MA 02110']"
138,Hennessy's,1881.565171822,2,3.0,233,"['25 Union St', 'Boston, MA 02108']"
139,Lucky's Lounge,1886.1648264759997,2,3.5,550,"['355 Congress St', 'Boston, MA 02210']"
140,Mija Cantina & Tequila Bar,1886.409928958,2,2.5,364,"['1 Faneuil Hall Sq', 'Boston, MA 02109']"
141,Coogan's,1890.037381318,1,3.0,196,"['171 Milk St', 'Boston, MA 02109']"
142,Paddy O's,1898.7666024119999,2,3.0,135,"['33 Union St', 'Boston, MA 02108']"
143,Croke Park/Whitey's,1900.952890802,1,4.5,81,"['268 W Broadway', 'Boston, MA 02127']"
144,Pepper Palace,1903.3733381619998,3,4.5,6,"['Faneuil Hall', '4 S Market Bldg, Ste S-1155', 'Boston, MA 02109']"
145,Lucky Strike,1904.1791347,2,2.5,397,"['145 Ipswich St', 'Boston, MA 02215']"
146,Loretta's Last Call,1906.8565936579998,2,3.5,126,"['1 Lansdowne St', 'Boston, MA 02115']"
147,Marriott Custom House,1914.1303276559997,3,4.5,63,"['3 McKinley Square', 'Boston, MA 02109']"
148,Cheers - Faneuil Hall,1915.598528538,2,2.5,265,"['Quincy Market S', 'Boston, MA 02109']"
149,The Bell In Hand,1915.993138706,2,3.0,579,"['45 Union St', 'Boston, MA 02108']"
150,Green Dragon Tavern,1922.282278492,2,3.5,347,"['11 Marshall St', 'Boston, MA 02108']"
151,The Boxer Boston Hotel,1925.73061131,2,4.0,135,"['107 Merrimac St', 'Boston, MA 02114']"
152,The Wild Rover,1926.8577930459999,2,3.0,69,"['61-63 Chatham St', 'Boston, MA 02109']"
153,Central Wharf Co,1934.7047739519999,2,3.5,83,"['160 Milk St', 'Boston, MA 02109']"
154,Residence Inn Boston Downtown/Seaport,1934.960015276,3,4.5,40,"['370 Congress St', 'Boston, MA 02210']"
155,The Point,1935.63690368,2,3.5,111,"['147 Hanover St', 'Boston, MA 02018']"
156,The Black Rose,1935.7180144159997,2,3.5,461,"['160 State St', 'Boston, MA 02109']"
157,Sissy K's,1940.09316614,1,2.5,221,"['6 Commercial St', 'Boston, MA 02109']"
158,Bill's Bar & Lounge,1954.712732568,2,3.0,49,"['5 Lansdowne St', 'Boston, MA 02215']"
159,Garden Halal Meat,1963.573597674,1,3.5,19,"['96 Blackstone St', 'Boston, MA 02109']"
160,Durty Nelly's,1967.988339162,1,4.0,147,"['108 Blackstone St', 'Boston, MA 02109']"
161,The Lansdowne Pub,1970.992655074,2,3.5,267,"['9 Lansdowne St', 'Boston, MA 02215']"
162,Boston Harbor Hotel,1979.691620576,3,4.5,151,"['70 Rowes Wharf', 'Boston, MA 02110']"
163,Ned Devine's Pub,1982.204604986,2,3.0,369,"['1 Faneuil Hall Marketplace', 'Boston, MA 02109']"
164,"The Envoy Hotel, Autograph Collection",1982.8890572879998,3,4.0,66,"['70 Sleeper St', 'Boston, MA 02210']"
165,Causeway Restaurant & Bar,1984.409722654,2,3.5,98,"['65 Causeway St', 'Boston, MA 02114']"
166,Porters Bar & Grill,1989.698818564,2,4.0,158,"['173 Portland St', 'Boston, MA 02114']"
167,Kimpton Onyx Hotel,1991.3002727979997,3,4.0,131,"['155 Portland St', 'Boston, MA 02114']"
168,The North Star,2017.784537442,2,3.0,81,"['222 Friend St', 'Boston, MA 02114']"
169,The Greatest Bar,2028.486487508,2,2.0,201,"['262 Friend St', 'Boston, MA 02114']"
170,Eastern Standard Kitchen and Drinks,2036.70506502,3,4.0,1554,"['528 Commonwealth Ave', 'Boston, MA 02215']"
171,Boston Ramrod,2045.0557693459998,1,3.5,13,"['1254 Boylston St', 'Boston, MA 02215']"
172,Holiday Inn Express Hotel & Suites Boston Garden,2046.3751062779997,2,3.0,45,"['280 Friend Street', 'Boston, MA 02114']"
173,Domino's Pizza,2060.317784302,2,2.0,66,"['1260 Boylston St', 'Boston, MA 02215']"
174,Boston Marriott Cambridge,2067.5551472159996,3,3.5,102,"['50 Broadway', 'Cambridge, MA 02142']"
175,Tony C's Sports Bar & Grill,2084.181882492,2,3.0,26,"['1265 Boylston St', 'Boston, MA 02215']"
176,The Baseball Tavern,2090.603149092,1,3.0,150,"['1270 Boylston St', 'Boston, MA 02215']"
177,The Verb Hotel,2103.12413616,2,4.0,109,"['1271 Boylston St', 'Boston, MA 02116']"
178,Hojoko Boston,2133.519901674,2,3.5,203,"['1271 Boylston St', 'Boston, MA 02215']"
179,Royal Sonesta Hotel,2136.38919396,3,3.5,185,"['40 Edwin H Land Blvd', 'Cambridge, MA 02142']"
180,Kimpton Hotel Marlowe,2159.8997201519996,3,4.5,227,"['25 Edwin H Land Blvd', 'Cambridge, MA 02141']"
181,Bricco Suites,2165.849611066,3,4.0,14,"['241 Hanover St', 'Boston, MA 02113']"
182,Boston Marriott Long Wharf,2169.424759876,3,3.5,176,"['296 State St', 'Boston, MA 02109']"
183,Caffe Paradiso,2179.953384024,2,4.0,157,"['255 Hanover St', 'Boston, MA 02113']"
184,Buckminster Hotel,2180.994144202,2,3.0,122,"['645 Beacon St', 'Boston, MA 02215']"
185,Element Boston Seaport,2211.610067428,2,4.5,19,"['391-395 D St', 'Boston, MA 02210']"
186,Residence Inn Boston Cambridge,2250.710913936,2,4.5,27,"['6 Cambridge Ctr', 'Cambridge, MA 02142']"
187,Citizen Public House & Oyster Bar,2256.9184601839997,2,3.5,513,"['1310 Boylston St', 'Boston, MA 02215']"
188,Tasty Burger,2259.364978852,1,4.0,863,"['1301 Boylston St', 'Boston, MA 02215']"
189,M.J. O'Connor's,2289.976074058,2,3.0,147,"['425 Summer St', 'Boston, MA 02210']"
190,City Bar,2289.976074058,2,3.5,38,"['425 Summer St', 'Boston, MA 02210']"
191,Laverde's Market,2293.450800052,1,2.5,48,"['84 Massachusetts Ave', 'MIT', 'Cambridge, MA 02139']"
192,Dunkin' Donuts,2309.26449676,1,4.0,14,"['510 Southampton St', 'Boston, MA 02127']"
193,Artu,2313.124015948,2,3.5,272,"['6 Prince St', 'Boston, MA 02113']"
194,The No. 1 Food,2318.9269741199996,1,2.0,56,"['49 Warren St', 'Roxbury, MA 02119']"
195,China Bo,2319.203941534,2,2.0,19,"['47 Warren St', 'Roxbury, MA 02119']"
196,Bova's Bakery,2320.09776897,1,4.0,675,"['134 Salem St', 'Boston, MA 02113']"
197,Telegraph Hill,2323.427332496,2,3.5,88,"['289 Dorchester St', 'South Boston, MA 02127']"
198,Lincoln Tavern & Restaurant,2325.654498122,2,4.0,468,"['425 W Broadway', 'Boston, MA 02127']"
199,Corner Cafe,2330.275717932,1,4.0,50,"['87 Prince St', 'Boston, MA 02113']"
200,South Boston Chinese Restaurant,2337.712478072,1,3.0,24,"['429 W Broadway', 'Boston, MA 02127']"
201,Atlantic Beer Garden,2340.2582930179997,2,2.5,330,"['146 Northern Ave', 'Boston, MA 02110']"
202,Boston Sail Loft,2346.905671888,2,4.0,362,"['80 Atlantic Ave', 'Boston, MA 02110']"
203,Infinite Beauty Med Spa,2358.350010496,2,4.5,7,"['157 Seaport Blvd', 'Boston, MA 02210']"
204,Whiskey Priest,2358.88447231,2,2.5,360,"['150 Northern Ave', 'Boston, MA 02210']"
205,Bar Louie,2392.955648516,2,2.5,169,"['121 Brookline Ave', 'Boston, MA 02215']"
206,The Cheese Shop,2402.2231938399996,3,4.5,4,"['20 Fleet St', 'Boston, MA 02113']"
207,SleepAfloat - Boston,2418.5713523619997,3,4.5,3,"['28 Atlantic Ave', 'Boston, MA 02110']"
208,Harvard Vanguard - Kenmore,2434.998851346,3,3.0,68,"['133 Brookline Ave', 'Boston, MA 02215']"
209,Star Market,2446.8043258499997,1,2.0,19,"['33 Kilmarnock St', 'Boston, MA 02215']"
210,Four Winds Bar and Grill,2455.064424334,2,4.0,31,"['266 Commercial St', 'Boston, MA 02109']"
211,McGoo's Pizza,2491.698635424,1,3.0,42,"['479 W Broadway', 'South Boston, MA 02127']"
212,Holiday Inn Express Boston,2502.0737285359996,2,3.5,34,"['69 Boston St', 'Boston, MA 02125']"
213,Renaissance Boston Waterfront Hotel,2622.146907804,3,4.0,156,"['606 Congress St', 'Boston, MA 02210']"
214,Chicago Pizza,2625.348367866,1,2.0,120,"['239 Massachusetts Ave', 'Cambridge, MA 02139']"
215,Rocco's Cucina & Bar,2633.7748721059997,2,3.5,102,"['450 Commercial St', 'Boston, MA 02109']"
216,"Battery Wharf Hotel, Boston Waterfront",2645.42906865,3,3.5,35,"['Three Battery Wharf', 'Boston, MA 02109']"
217,Domino's Pizza,2658.051766006,2,1.5,82,"['1400 Tremont St', 'Roxbury Crossing Station - Space D', 'Roxbury Crossing, MA 02120']"
218,Legal Test Kitchen,2661.727337632,2,3.5,614,"['225 Northern Ave', 'Boston, MA 02210']"
219,Tony C's Sports Bar & Grill,2681.0685466859995,2,2.5,400,"['250 Northern Ave', 'Boston, MA 02210']"
220,Temazcal Tequila Cantina,2703.9042766159996,3,3.0,608,"['250 Northern Ave', 'Boston, MA 02210']"
221,The Automatic Food & Drink,2762.3295950419997,2,4.0,26,"['50 Hampshire St', 'Cambridge, MA 02139']"
222,Adam's Pizza & Convenience Store,2767.669063294,2,2.5,11,"['120 Blackstone St', 'Boston, MA 02109']"
223,Hampton Inn Boston Cambridge,2787.772133904,2,3.0,54,"['191 Monsignor Obrien Hwy', 'Cambridge, MA 02141']"
224,Insomnia Cookies,2814.1065689939996,1,3.0,69,"['708 Commonwealth Ave', 'Boston, MA 02215']"
225,Bass Lessons Unlimited,2847.402526122,2,5.0,5,"['171 Windsor St', 'Cambridge, MA 02139']"
226,Le Méridien,2849.45556116,3,3.5,150,"['20 Sidney St', 'Cambridge, MA 02139']"
227,Fairfield Inn & Suites Boston/Cambridge,2886.7001949119995,2,4.0,23,"[""215 Monsignor O'Brein Hwy"", 'Cambridge, MA 02141']"
228,"Hyatt Regency Cambridge, Overlooking Boston",2904.751035154,3,3.0,214,"['575 Memorial Dr', 'Cambridge, MA 02139']"
229,Holiday Inn Express Hotel & Suites Boston,2948.862239884,2,3.5,45,"[""250 Monsignor O'Brien Hwy"", 'Cambridge, MA 02141']"
230,Lone Star Taco Bar,2989.721934078,2,4.0,162,"['635 Cambridge St', 'Cambridge, MA 02141']"
231,Cafe Dilara,3011.9195606979997,1,2.0,67,"['645 Cambridge St', 'Cambridge, MA 02141']"
232,thirst,3017.5535381699997,2,4.5,6,"['645 E 2nd St', 'Boston, MA 02127']"
233,Venetian Garden,3021.385698578,3,2.5,4,"['1269 Massachusetts Ave', 'Dorchester, MA 02125']"
234,Clover,3073.7298039459997,1,4.0,88,"['496 Mass Ave', 'Cambridge, MA 02139']"
235,The Inn at Longwood Medical,3093.01307676,2,2.5,56,"['342 Longwood Ave', 'Boston, MA 02115']"
236,The Mission Bar & Grill,3187.6264972279996,2,3.5,261,"['724 Huntington Ave', 'Boston, MA 02120']"
237,Au Bon Pain,3201.047749092,1,3.0,17,"['75 Francis St', 'Boston, MA 02115']"
238,Tedeschi Food Shops,3214.320458874,2,2.5,4,"['187 E Cottage St', 'Dorchester, MA 02125']"
239,Green Street,3282.7650453379997,2,4.0,643,"['280 Green St', 'Cambridge, MA 02139']"
240,Domino's Pizza,3313.4308581039995,1,2.0,17,"['277 Main St', '# 279', 'Charlestown, MA 02129']"
241,Tedeschi Food Shops,3447.8331179300003,1,4.5,2,"['321 Broadway', 'Cambridge, MA 02139']"
242,La Cancun,3489.336548124,2,4.0,65,"['192 Sumner St', 'Boston, MA 02128']"
243,Eddie C's Bar,3593.703534596,1,4.0,21,"['34 Maverick Sq', 'Boston, MA 02128']"
244,Holiday Inn Boston-Brookline,3697.1287353,2,2.0,83,"['1200 Beacon St', 'Brookline, MA 02446']"
245,Courtyard by Marriott Boston Cambridge,3787.843529618,3,3.5,45,"['777 Memorial Dr', 'Cambridge, MA 02139']"
246,Wok N Talk,3797.758673358,1,2.5,184,"['23 S Huntington Ave', 'Jamaica Plain, MA 02130']"
247,Courtyard by Marriott Boston Cambridge,3800.3363532359995,2,4.0,15,"['777 Memorial Dr', 'Cambridge, MA 02139']"
248,Joseph's Sub Shop and Pizza,3809.1568239079998,1,3.5,74,"['8 S Huntington Ave', 'Jamaica Plain, MA 02130']"
249,Hyatt Regency Boston Harbor,3817.9360954759995,3,4.0,145,"['101 Harborside Dr', 'Boston, MA 02128']"
250,Young Kong Restaurant,3824.1504009519995,1,1.5,9,"['300A Centre St', 'Jamaica Plain, MA 02130']"
251,Holiday Inn Boston Bunker Hill Area,3827.2963387839995,2,3.5,67,"['30 Washington St', 'Somerville, MA 02143']"
252,Paal,3841.8492785359995,2,3.0,1,"['42 Gove St', 'Boston, MA 02128']"
253,enVision Hotel Boston-Longwood,3879.293792316,2,4.5,29,"['81 South Huntington Ave', 'Boston, MA 02130']"
254,On scene Limousine,3880.452195248,,5.0,2,"['Boston, MA 02125']"
255,La Hacienda Restaurant and Bar,3913.21159842,2,4.0,110,"['150 Meridian St', 'East Boston, MA 02128']"
256,Walgreens,3989.2344060099995,2,2.5,3,"['1 Central Sq', 'East Boston, MA 02128']"
257,Paradise Rock Club,3990.28530503,2,4.0,349,"['967 Commonwealth Ave', 'Boston, MA 02215']"
258,Fugakyu Japanese Cuisine,3993.4891791019995,3,4.0,1031,"['1280 Beacon St', 'Brookline, MA 02446']"
259,T's Pub,4014.2659194359994,2,3.0,99,"['973 Commonwealth Ave', 'Boston, MA 02215']"
260,CVS Pharmacy,4039.43615797,1,2.5,5,"['210 Border St', 'Boston, MA 02128']"
