Receiver Name,Count
cstone1,1370
carlos.sole,1369
katherine.kelly,1368
kathleen.sullivan,1363
george.smith,1363
miguel.garcia,1361
f..keavey,1358
phillip.love,1358
stinson.gibner,1353
thomas.martin,1349
matt.smith,1348
carla.hoffman,1348
kori.loibl,1344
rick.dietz,1343
brenda.herod,1340
kimberly.hundl,1339
dan.lyons,1339
fran.chang,1337
triley,1336
stacey.white,1332
twanda.sweet,1329
barton.clark,1329
paula.rieker,1328
rshapiro,1328
beth.perlman,1327
t..hodge,1326
daniel.diamond,1326
c..gossett,1325
gary.hickerson,1320
h..lewis,1318
ggreen2,1314
wendy.conwell,1314
robin.barbe,1314
stewart.rosman,1313
lester.rawson,1312
thane.twiggs,1312
dirk.vanulden,1309
d..baughman,1308
lauri.allen,1308
r..brackett,1308
portland.shift,1306
j..broderick,1306
eric.thode,1305
peggy.hedstrom,1305
claudia.guerra,1305
craig.taylor,1305
sheila.nacey,1304
jeffrey.gossett,1298
ted.ballinger,1297
aleck.dadson,1295
scott.hendrickson,1294
janette.elbertson,1293
l..nicolay,1293
mary.miller,1292
steve.walker,1289
monique.sanchez,1288
gary.a.hanks,1287
maureen.smith,1286
george.wood,1283
chris.long,1282
mitch.robinson,1282
bryce.baxter,1281
roseann.engeldorf,1279
john.llodra,1274
steve.wang,1272
gtbl,1269
doug.miller,1269
l..mims,1258
c..giron,1250
christine.stokes,1249
frank.hayden,1246
p..south,1246
l..day,1244
elsie.lew,1244
m..forney,1242
martin.cuilla,1242
lara.leibman,1241
richard.broussard,1241
jake.thomas,1241
greg.piper,1238
carlos.rodriguez,1237
amita.gosalia,1236
andrew.lewis,1236
lora.sullivan,1232
robert.allwein,1229
tracy.geaccone,1226
deb.korkmas,1225
geir.solberg,1220
sheetal.patel,1220
paula.warren,1219
lisa.shoemake,1216
peggy.banczak,1212
sandra.brawner,1211
dan.staines,1209
greg.trefz,1209
kay.young,1208
richard.b.sanders,1208
heather.kroll,1207
charles.yeung,1207
stephen.burns,1203
vince.j.kaminski,1203
reagan.rorschach,1195
jason.moore,1194
keller.mayeaux,1192
randall.gay,1189
nathan.hlavaty,1189
j.kaminski,1188
cindy.olson,1184
cyril.price,1183
scott.bolton,1181
dave.neubauer,1180
peggy.mahoney,1180
e..haedicke,1175
dave.perrino,1175
lance.schuler-legal,1174
terry.kowalke,1173
dave.mangskau,1166
david.port,1165
andrew.fastow,1164
robert.hemstock,1164
wayne.gresham,1163
sarah.mulholland,1162
marilyn.colbert,1157
jennifer.burns,1156
joseph.wagner,1152
diane.anderson,1152
robert.cotten,1150
joe.gordon,1150
thresa.allen,1146
carol.st.,1144
portland.desk,1142
jae.black,1141
eric.gillaspie,1141
carrie.southard,1140
martin.wenzel,1138
mary.gosnell,1137
glen.hass,1134
jason.williams,1134
lawrence.clayton,1133
bhansen,1131
greg.johnston,1124
brad.coleman,1123
teb.lokey,1121
cynthia.sandherr,1121
rod.nelson,1120
john.malowney,1117
l..garcia,1114
nicholas.o'day,1113
scott.palmer,1113
nidia.mendoza,1112
steven.january,1112
jan.moore,1111
linda.guinn,1109
john.suarez,1108
rochmanm,1106
jesse.bryson,1105
nony.flores,1104
veronica.gonzalez,1104
f..calger,1103
ryan.slinger,1102
credit<.williams,1102
sylvia.pollan,1098
francisco.leite,1097
teresa.bushman,1097
jennifer.denny,1096
gabriel.monroy,1094
shona.wilson,1093
andy.rodriquez,1091
vance.taylor,1089
ellen.wallumrod,1089
laura.podurgiel,1088
david.minns,1088
john.buchanan,1088
dale.rasmussen,1088
jason.kaniss,1088
john.dushinske,1084
ed.mcmichael,1084
timothy.blanchard,1081
jean.ryall,1078
lcampbel,1077
c..koehler,1076
michael.mcdonald,1074
melissa.graves,1074
lynn.shivers,1073
mark.schroeder,1072
hal.mckinney,1070
clarissa.garcia,1069
john.shelk,1069
joe.gold,1068
scott.mills,1068
seung-taek.oh,1068
joseph.hirl,1067
tom.dutta,1066
darren.espey,1066
mark.whitt,1064
madhup.kumar,1063
nmann,1061
tom.chapman,1061
lou.stoler,1060
patrice.mims,1059
roy.boston,1058
jane.tholt,1057
matt.maxwell,1056
denver.plachy,1056
mog.heu,1054
w..pereira,1052
donald.lassere,1051
alewis,1049
bob.crane,1048
jean.mrha,1047
monika.causholli,1046
kevin.hannon,1045
anna.santucci,1044
liz.bellamy,1039
barbara.hueter,1038
michael.robison,1036
n..gray,1036
ryan.williams,1036
berney.aucoin,1036
craig.buehler,1035
kevin.mcgowan,1034
laura.luce,1033
dustin.collins,1032
lysa.akin,1030
lucy.ortiz,1028
diane.ellstrom,1026
laurie.mayer,1026
h..foster,1025
gary.justice,1022
michael.driscoll,1021
torrey.moorer,1020
wgang,1019
amber.ebow,1017
karla.compean,1016
d..winfree,1015
jennifer.blay,1012
ozzie.pagan,1012
becky.spencer,1012
michael.eiben,1010
harry.bucalo,1010
david.leboe,1007
joe.connor,1003
joann.collins,1001
andrea.guillen,1000
gregg.penman,996
audrey.robertson,995
christopher.watts,995
pinto.leite,994
andrea.dahlke,994
bernadette.hawkins,993
alton.jackson,991
judy.hernandez,988
cyndie.balfour-flanagan,985
andrew.greer,983
john.forney,983
monica.lande,981
stanley.cocke,981
derek.bailey,980
rhonda.denton,978
cary.carrabine,977
chris.abel,977
s..theriot,975
willis.philip,972
bob.burleson,971
lee.papayoti,970
justin.rostant,968
kmccrea,967
melba.lozano,966
chris.gaskill,965
susan.smith,963
jared.kaiser,963
gloria.ogenyi,962
wendi.lebrocq,962
paul.broderick,961
peter.vecchio,957
bill.iii,957
richard.lewis,952
julie.meyers,950
elsa.villarreal,949
audrey.cook,948
louis.soldano,947
chris.stokley,945
brenda.whitehead,944
gregory.schockling,941
eric.benson,940
martha.benner,938
theresa.branney,937
jeannie.mandelker,936
jay.fitzgerald,936
dwatkiss,934
steve.gilbert,932
grace.kim,930
jeff.brown,930
dfarmer,929
dan.junek,928
michael.bodnar,928
maria.pavlou,928
susan.trevino,926
holly.keiser,925
jay.blaine,924
linda.noske,923
steve.hall,922
trading<.williams,922
kevin.bosse,921
patrick.keene,920
steve.venturatos,918
f..campbell,917
rebecca.cantrell,917
julia.white,916
richard.hrabal,912
richard.ring,911
j..farmer,911
robert.kilmer,910
ami.chokshi,909
paul.lucci,908
carolyn.gilley,907
lisa.kinsey,905
ken.rice,905
w.duran,904
lisa.csikos,904
kent.miller,903
beth.apollo,902
tammi.depaolis,900
tara.sweitzer,899
mark.pickering,898
douglas.condon,896
rebecca.mcdonald,894
psellers,893
holli.krebs,891
bryce.schneider,890
mary.solmonson,890
harlan.murphy,889
gustavo.giron,889
mary.heinitz,888
m.hall,886
vernon.mercaldo,886
mauricio.marquez,886
ron.mcnamara,886
bob.carter,886
joseph.piotrowski,885
jaime.gualy,885
andrew.edison,885
lee.huber,884
connie.sutton,883
zachary.sampson,883
ed.iii,882
soblander,881
jo.williams,880
mary.schoen,880
pat.shortridge,879
peter.keavey,879
martha.janousek,878
bob.hall,876
david.hardy,874
bridgette.anderson,874
kyle.lilly,874
ben.glisan,873
joe.allen,871
filuntz,870
donald.reinhardt,870
m..scott,869
chad.landry,869
kate.fraser,867
liz.taylor,867
jeff.donahue,865
robbi.rossi,865
frank.rishe,863
kimberly.allen,861
julie.gomez,860
richard.ingersoll,859
camille.gerard,859
alan.chen,858
carlos.j.rodriguez,858
posey.martinez,854
rcarroll,853
tim.heizenrader,853
meredith.philipp,853
stella.chan,850
bryan.seyfried,848
michael.seely,846
kim.durham,845
jeffrey.keeler,844
fred.mitro,844
mike.roan,843
james.scribner,842
leaf.harasin,842
cassandra.schultz,841
carolyn.george,840
laura.lantefield,839
teresa.mandola,839
susan.pereira,838
edward.gottlob,837
jason.bass2,836
brian.hoskins,835
stuart.staley,834
sscott3,834
ramanarao.tamma,832
michel.nelson,830
valarie.sabo,830
dave.samuels,829
joan.quick,828
linda.bryan,827
claudia.clark,825
debra.bailey,825
richard.pinion,825
margaret.carson,824
andrea.calo,824
george.diaz,818
kay.chapman,817
lisa.gang,816
kelly.lombardi,816
cathy.phillips,815
mike.roberts,815
cabaker,815
rhonda.robinson,812
linda.ewing,811
donna.scott,808
jkeffer,808
m..driscoll,807
mark.metts,807
penny.mccarran,806
b..sanders,806
elizabeth.hernandez,805
luiz.maurer,804
vasant.shanbhogue,804
sue.neville,803
cheryl.dawes,802
jleslie,801
jenny.latham,800
carrie.larkworthy,799
carin.nersesian,798
carolyn.cooney,798
ken,798
paul.simons,797
lisa.bills,795
chris.gaffney,795
bill.moore,795
heather.dunton,795
jay.wills,794
mike.miller,794
dan.mccairns,794
chris.walker,794
jeremy.morris,792
victor.guggenheim,792
stephen.herber,791
john.singer,790
paul.quilkey,790
greg.brazaitis,789
john.ambler,789
eke,789
steve.weller,788
gordon.heaney,788
justin.boyd,784
eric.letke,784
vinio.floris,784
john.zufferli,783
ragan.bond,781
peter.styles,779
ccampbell,778
jan.king,778
scotty.gilbert,778
carole.frank,776
thor.lien,776
wayne.herndon,775
nancy.hetrick,774
iris.mack,772
john.taylor,772
james.grace,771
steven.south,770
rosalee.fleming,770
mike.dahlke,769
smith.day,769
shanna.husser,769
sylvia.campos,767
mary.darveaux,765
joe.hillings,764
bill.cordes,764
greg.mcclendon,763
steven.j.kean,763
allison.navin,763
dari.dornan,763
clem.cernosek,762
gary.bryan,761
jane.mcbride,760
william.kelly,758
suzy.robey,756
mark.tawney,756
acomnes,755
jay.knoblauh,755
scott.josey,754
jesse.villarreal,754
craigc,753
b.palmer,753
melinda.pharms,753
stacey.neuweiler,751
laurel.bolt,751
jay.webb,751
tony.pryor,750
alexander.mcelreath,750
ruth.concannon,747
darron.giron,747
elliot.mainzer,745
karen.o'day,744
kenenglish,744
christa.winfrey,743
william.stuart,742
bruno.gaillard,742
houston.report,741
a..allen,740
jackp,740
james.d.steffes,739
ashley.worthing,738
sunil.dalal,737
laurie.knight,736
mike.mcgowan,736
per.sekse,735
hicham.benjelloun,732
kal.shah,732
bruce.garner,731
kyle.schultz,729
pat.radford,729
kimberly.olinger,729
garrett.tripp,729
susan.elledge,728
marde.driscoll,728
geriann.warner,728
plg,726
marlene.hilliard,726
aimee.lannou,725
brenda.fletcher,724
paul.thomas,723
roger.balog,723
daniel.rogers,722
kimat.singla,722
laura.vargas,721
bert.meyers,721
james.shirley,720
james.hughes,719
rubena.buerger,718
terri.miller,717
vance.meyer,717
alex.wong,717
matt.motsinger,717
moises.benchluch,717
derek.davies,715
joseph.deffner,714
l..kelly,713
kay.threet,712
jeremy.wong,712
robert.george,711
dana.jones,711
rmp,709
cory.willis,708
steve.gim,707
s..pollan,707
mark.confer,704
matthew.fleming,704
bryant.frihart,703
steve.van,702
luis.mena,701
john.goodpasture,698
morgan.gottsponer,697
john.postlethwaite,695
burkee,694
linda.ward,694
all_ena_egm_eim,693
punit.rawal,693
don.miller,692
russ.severson,692
pr<.palmer,691
mike.barry,691
robin.rodrigue,690
janet.butler,689
frazier.king,689
sean.bolks,688
allan.sommer,688
kathryn.bussell,688
thomas.lowell,688
frank.semin,688
rick.counihan,686
chuck.wilkinson,686
cynthia.franklin,686
stephen.thome,685
eveningmba,682
karen.lagerstrom,682
nancy.corbet,679
chris.sebesta,679
james.saunders,678
darren.vanek,677
reyna.cabrera,677
jean.dressler,677
lon.stanton,675
george.hopley,674
ricardo.perez,672
michael.moran,672
center.dl-portland,672
rob.walls,671
eric.boyt,670
eileen.peebles,669
margo.reyna,669
keith.petersen,669
joer,667
mark.thorne,667
mark.fisher,667
anita.patton,666
don.powell,665
bob.stevens,665
john.swinney,664
joe.capasso,663
amy.mulligan,663
bilal.bajwa,663
gsullivan,662
luchas.johnson,662
e..kelly,661
beverly.beaty,659
patrick.ryder,659
carmen.perez,659
jmpa,658
janet.bowers,657
karen.jones,656
rbw,656
ken.powers,653
merrill.haas,652
msmith1,651
carey.metz,649
david.maskell,649
linda.simmons,648
ashish.mahajan,648
tim.johanson,647
loren.penkava,646
kathy.reeves,645
mike.zipperer,645
patti.thompson,644
bill.fowler,642
richard.mckeel,639
maria.garza,638
susan.lindberg,637
frank.oldenhuis,637
steve.pan,636
lisa.valderrama,634
d.hunsucker,634
michael.morris,633
sscott5,633
michael.walters,632
phil.lowry,632
james.hungerford,632
roger.pelote,631
hillary.mack,630
kirsten.bellas,630
larry.pavlou,630
coralina.rivera,629
eric.gadd,629
michael.ratner,629
virawan.yawapongsiri,628
sherri.sera,627
thomas.white,626
michael.olsen,625
all.states,625
cedric.burgher,625
michele.winckowski,625
joanie.ngo,624
charles.weldon,624
daniel.jenkins,623
t..lucci,623
william.abler,623
michael.terraso,622
bjorn.hagelmann,622
joni.bollinger,621
zimin.lu,620
edmund.cooper,620
utku.gulmeden,619
george.weissman,619
william.freije,618
steve_ponder,615
mdjoseph,615
tom.acton,615
melissa.videtto,614
tanya.tamarchenko,614
l..nowlan,614
john.grass,614
cameron,614
jeffrey.sherrick,613
johnj,613
george.huan,611
mike.jordan,611
leonardo.pacheco,611
jenny.helton,610
sherry.dawson,608
ed,608
donald.black,608
jeff.nielsen,605
janie.aguayo,605
cindy.horn,604
adnan.patel,604
savita.puthigai,604
martin.lin,604
wayne.vinson,603
ryan.o'rourke,603
martha.braddy,602
rebecca.ford,602
beverly.miller,601
lisa.valley,601
chris.booth,601
davila1,600
lindseyhowdowning,598
amie.ha,598
jim.meyn,597
steve.january,596
n..gilbert,595
julie.armstrong,595
eric.moon,595
joy.werner,594
nancy.sellers,594
guillermo.canovas,594
john.fiscus,593
john.shafer,592
d..hare,591
eddy.daniels,591
allen.cohrs,591
walter.guidroz,591
kristin.albrecht,591
amy.fitzpatrick,590
d.hall,589
h..otto,589
michelle.nelson,588
steve.schneider,588
ann.murphy,587
daphneco64,586
martin.o'leary,586
marcia.linton,586
molly.lafuze,585
christina.sanchez,585
cora.pendergrass,583
aparna.rajaram,583
robert.mason,582
alex.parsons,582
joe.hunter,580
mark.davis,580
mark.breese,579
sabra.dinari,579
airam.arteaga,579
hai.chen,578
steve.swain,578
joannie.williamson,578
cooper.richey,578
ebass,577
stephen.swain,577
pthompson,576
enron.counterparty,575
/o=enron/ou=na/cn=recipients/cn=notesaddr/cn=a478079f-55e1f3b0-862566fa-612229,575
gerald.emesih,575
stephanie.korbelik,574
suzanne.christiansen,574
robin.kittel,573
caroline.abramo,573
porterdk,573
david.haug,573
ken.curry,573
kdenne,573
mark.e.haedicke,573
john.valdes,573
jeff.royed,572
curt.hatton,572
yuan.tian,572
angie.zeman,572
ricardo.charvel,572
hector.campos,571
cindy.stark,571
jenny.rub,570
jeffrey.keenan,570
reese.trejo,569
larry.swett,569
romeo.d'souza,569
anubhav.aggarwal,568
donna.consemiu,568
nelson.ferries,568
leslie.smith,568
james.bannantine,566
tomb,566
jeanie.slone,566
rockey.storie,564
brad.horn,563
david.ingram,563
napedersen,563
donna.greif,563
kevin.meredith,561
d..poppa,561
cheryl.dudley,560
rob.wilson,559
c..aucoin,559
kristen.hanson,558
steve.neal,557
e..dickson,557
crystal.hyde,556
irene.flynn,556
reginald.shanks,555
troy.klussmann,555
chris.lambie,555
miyung.buster,554
william.smith,554
donna.martens,554
alberto.levy,554
max.yzaguirre,553
bradley.diebner,553
ann.schmidt,553
christine.mcevoy,552
curtis_l_kebler,552
rudwell.johnson,551
joe.casas,551
jose.bestard,551
jody.crook,551
pinnamaneni.krishnarao,550
20participants,550
igsinc,550
scott.loving,548
mark.courtney,548
mark.fillinger,547
homer.lin,547
scott.dieball,547
steve.kirk,546
tracy.minter,546
dina.snow,546
wade.cline,545
a..price,545
amelia.alland,545
rllamkin,544
amr.ibrahim,544
marcie.milner,544
keegan.farrell,543
houston<.ward,543
laura.jones,542
craig.dean,541
willie.stewart,541
cindy.vachuska,541
sheri.cromwell,539
katherine.herrera,539
steve.gillespie,539
justin.o'malley,538
shelly.mendel,538
smutny,538
m..landwehr,537
andrea.hauser,536
sean.riordan,535
douglas.friedman,535
mitchell.taylor,535
xi.xi,534
lou.pai,534
susan.rance,534
david.cox,534
dorothy.mccoppin,533
jim.wiltfong,533
lee.ferrell,533
paul.goddard,532
rex.rogers,532
michael.kelly,532
theresa.staab,531
jordan.mintz,531
robert.johnston,530
meredith.homco,530
pmims,530
billy.braddock,530
david.duran,530
rodney.malcolm,529
damon.harvey,529
kourtney.nelson,529
legal<.hall,528
jim.little,528
legal <.taylor,527
stacey.bolton,527
michael.stage,527
grant.masson,527
jackie.young,526
liz.hillman,526
ned.crady,526
mmmarcantel,525
james.simpson,524
dawn.kenne,524
sanjay.bhatnagar,523
joseph.hrgovcic,523
melissa.rodriguez,522
john.schwartzenburg,522
jim.talcott,522
dl-ga-all_enron_worldwide1,522
e.taylor,522
teresa.seibel,522
diomedes.christodoulou,521
russell.kelley,521
askaff,521
matthew.scrimshaw,521
tricia.bowen,520
bill.rapp,520
kmills,520
molly.harris,520
karen,518
patrick.tucker,517
kulvinder.fowler,517
brian.riley,517
georgi.landau,517
celeste.cisneros,517
joseph.sutton,515
faye.ellis,513
scott.healy,513
jweil,512
kay.miller,512
chaundra.woods,511
eric.gonzales,511
robert.shiring,510
mark.powell,509
jennifer.shipos,508
fred.boas,507
dan.pribble,507
gary.spraggins,504
robert.hayes,504
regina.perkins,504
controllers.dl-ets,504
carl.tricoli,503
amy.horton,502
david.dupre,502
louis.dicarlo,502
lex.carroll,501
joey.taylor,501
james.ducote,501
kenneth.shulklapper,500
rjhickok,500
bcragg,500
larry.lawyer,499
kent.shoemaker,498
esmeralda.gonzalez,497
biliana.pehlivanova,496
larry.izzo,496
brad.richter,496
marcel,496
kirk.lenart,495
dennis.lee,495
gina.taylor,495
juana.fayett,495
c..williams,495
michael.roan,495
martha.stevens,494
jason.crawford,494
stephen.plauche,493
david.gorte,492
chris.ordway,491
natalie.baker,491
daniel.lisk,490
nam.nguyen,490
abb,490
ramona.betancourt,488
alvin.thompson,488
cris.sherman,488
sanjeev.gupta,488
beau.ratliff,486
dayem.khandker,485
angela.barnett,483
tamara.johnson,483
cheryl.johnson,483
scott.earnest,483
bwood,481
tim.kissner,481
pearce.hammond,481
kristin.walsh,481
epoole,481
john.hardy,479
chad.clark,479
chauncey.hood,478
claire.viejou,478
mike.croucher,477
grant_kolling,477
bert.hernandez,476
michael.moscoso,476
brad.schneider,475
michael.bridges,475
mark.bernstein,474
sarabeth.smith,474
gail.brownfeld,474
jsteffe,473
rpelote,473
j..hanson,473
rich.jolly,473
germain.palmer,472
maureen.raymond,471
michelle.blaine,470
mary.clark,470
paul.tate,469
jkarp,469
ranelle.paladino,468
winston.goodbody,468
mechelle.stevens,468
jeff_dasovich,468
katherine.brown,468
greg.whiting,468
lale,468
lindsay.meade,468
kelli.little,467
deirdre.mccaffrey,466
diane.goode,466
jennifer.bagwell,466
isabel.resendez,466
margaret.doucette,465
george.gilbert,465
